id,text,user_id,user_name,created_at,likes,reply_to_id,reply_to_text
5077434489115158,凭我对法律的理解，我认为这是犯罪行为。,1002198215,风日无欺,Wed Sep 11 15:02:59 +0800 2024,5626,,
5077464642224721,保姆这不是故意伤害罪吗？？？,2521856790,肥噜噜不是猪,Wed Sep 11 17:02:48 +0800 2024,4204,,
5077466230295238,不是投毒吗,1312763902,娃娃幸福哒,Wed Sep 11 17:09:07 +0800 2024,2075,,
5077467163529713,还是犯罪成本太低,6808906586,派大星的星球杯,Wed Sep 11 17:12:49 +0800 2024,1380,,
5077461387446129,华保姆会啊，华妃娘娘转世了。,6364034601,爱吃螺蛳粉的小花妹妹,Wed Sep 11 16:49:52 +0800 2024,494,,
5077465535349126,这难道不是犯罪吗,1796097083,Rani8888,Wed Sep 11 17:06:20 +0800 2024,426,,
5077468637823956,这么小喂安眠药，咋想的,5376501066,tery中铁,Wed Sep 11 17:18:40 +0800 2024,144,,
5077437286976312,天啊,1902298885,北京高生,Wed Sep 11 15:14:06 +0800 2024,123,,
5077467509555880,只是赔偿吗？这保姆不用负任何法律责任吗？,2096457545,Garbo多多洛,Wed Sep 11 17:14:11 +0800 2024,116,,
5077467075708193,才一万？？？,5697382046,Weirdo丶杜康,Wed Sep 11 17:12:28 +0800 2024,104,,
5077470701159835,太可怕了，想想以前经过她手的宝宝,7205826533,快乐的悠儿悠,Wed Sep 11 17:26:53 +0800 2024,84,,
5077471636488319,居然还是保姆先起诉…无知无畏无德,1379166297,小y妹,Wed Sep 11 17:30:35 +0800 2024,76,,
5077469394895784,保姆照顾高龄老人很多都喂安眠药，是公开的秘密,7530980640,杭州学爸,Wed Sep 11 17:21:41 +0800 2024,42,,
5077469881438139,才1万，也不知道这对孩子身体造成多大影响,5402741850,kk小英子,Wed Sep 11 17:23:37 +0800 2024,49,,
5077471294652972,还好意思起诉要工资 也好意思,2691852363,山野有雾灯_-_,Wed Sep 11 17:29:13 +0800 2024,35,,
5077474197898551,她还好意思起诉雇主,2193874947,我是个怪小孩,Wed Sep 11 17:40:46 +0800 2024,23,,
5077464478648104,太疯狂了,5517643948,经年-Dream,Wed Sep 11 17:02:09 +0800 2024,30,,
5077472324356275,一万块？日后有啥后遗症都说不定,6376969682,唏嘘的打工人666666,Wed Sep 11 17:33:20 +0800 2024,15,,
5077475161544552,这难道不是犯罪么,3922428791,潇缃雨,Wed Sep 11 17:44:36 +0800 2024,9,,
5077459428445450,狠狠地揍她一顿,2674557453,昜木简,Wed Sep 11 16:42:05 +0800 2024,25,,
5077478257199921,谷维素可以帮助入睡，明白了！,5711677206,SayThxtoSANTA,Wed Sep 11 17:56:54 +0800 2024,3,,
5077477248473466,作为一个长期失眠的人跟你们讲，谷维素作为安眠药的替代品，其实很多副作用的。,1523913170,桑果的回忆,Wed Sep 11 17:52:54 +0800 2024,7,,
