id,text,user_id,user_name,created_at,likes,reply_to_id,reply_to_text
5089641558966921,娜娜：我说我是俄罗斯娜娜，我从未说过我是俄罗斯人,7131659275,嘘嘘饱饱1,Tue Oct 15 07:29:31 +0800 2024,4633,,
5089637629167824,直接公开学历不就好了,7909218580,人生无需限定,Tue Oct 15 07:13:54 +0800 2024,863,,
5089640973339370,听泉本来就是搞怪风格，北大就是自误自乐而已，粉丝们都知道是个梗,1593404520,clampgo,Tue Oct 15 07:27:12 +0800 2024,1485,,
5089637401363644,这个确实可以随便填,7909449994,就爱吃三只松鼠,Tue Oct 15 07:13:00 +0800 2024,1839,,
5089675116811322,搞快啊，今天基本上能中,2397679067,笑得像个孩子啊,Tue Oct 15 09:42:52 +0800 2024,213,,
5089646338117036,去年10月份直播说的自己是北方大学的，我证明他没说过是北大的,6516856957,木北人呢,Tue Oct 15 07:48:31 +0800 2024,1163,,
5089644373344434,直播看过，说的很模糊而且也没有辟谣过不是，有一群视频都在说在你面前的是北京大学考古系第一名什么的什么的,1547747770,Raynsss,Tue Oct 15 07:40:41 +0800 2024,484,,
5089644759484585,简介的阿拉伯联合酋长国怎么不锤呢,5727477172,名模野子,Tue Oct 15 07:42:14 +0800 2024,296,,
5089651931488414,干嘛要弄清楚人家真实身份呢，咱看直播就是图个乐呵,5375248381,刘昊霖Andy,Tue Oct 15 08:10:44 +0800 2024,171,,
5089634659074801,那听泉鉴宝的真实身份到底是什么呢,3780716147,如果痛仰不摇滚,Tue Oct 15 07:02:06 +0800 2024,129,,
5089650399776590,真正的北大普通人，也不一定有泉哥讲得好，真是人红是非多,1826614143,呀土豆好不好吃,Tue Oct 15 08:04:39 +0800 2024,129,,
5089647643854741,停播沉淀几天涨粉100w 看来还要继续沉沉,6636351939,琪姐努力点,Tue Oct 15 07:53:42 +0800 2024,89,,
5089646134953264,没看过直播，只看过视频，除了爱看腿，三观挺正得一个人,1957833577,胡哥哥最喜欢笑而不语,Tue Oct 15 07:47:42 +0800 2024,62,,
5089649070706216,,5191906728,大圆脸桌会议,Tue Oct 15 07:59:22 +0800 2024,53,,
5089645350094733,我也是填了北大，地址选的安道尔,5598590306,游走的荒原狼,Tue Oct 15 07:44:35 +0800 2024,49,,
5089676295405942,非要搞大家喜欢的电子榨菜干嘛，搞他的也是闲的慌。,2269710922,深夜无眠,Tue Oct 15 09:47:32 +0800 2024,9,,
5089637838882074,这个确实挺离谱,7909330008,很喜欢夏天西瓜,Tue Oct 15 07:14:44 +0800 2024,19,,
5089645178650730,也没解释过自己不是,5545459087,风中还,Tue Oct 15 07:43:53 +0800 2024,16,,
5089642938895354,完了，听泉凉了。,5408333581,仙灬沉默神话灬雨露均沾,Tue Oct 15 07:35:00 +0800 2024,10,,
5089659982184515,我才知道有听泉鉴宝这个人，之前没听说过哎，没看过直播，不过干嘛要弄清楚人家真实身份呢，看直播不就是图个乐呵吗,3602155614,揪一只小小,Tue Oct 15 08:42:43 +0800 2024,5,,
5089689247944452,刚领了789，你会回来谢我的,2653170682,暖暖的小-羊,Tue Oct 15 10:39:01 +0800 2024,476,,
5089651495013424,你也没否认啊,2111985301,不吃小闸蟹,Tue Oct 15 08:09:00 +0800 2024,15,,
