Author ID,Author Nickname,Author Type,Author Headline,Likes Count,Thanks Count,Comment Count,Content
30ec7ed5fdaed8b9b22b4752d2f05fa6,Peter,people,,0,1,0,这次做的不太理想。恒指科技建仓点位在3300-3400之间，主要是腾讯/阿里/美团/B站/万科这几个，都吃到了30%-50%的涨幅，在周五开盘时候卖了部分。（看美盘估计下周一这几个还要继续涨）建仓也是基于恒指科技过度低估，卖出的逻辑原计划是根据美联储降息、科技股反弹。问题是，没执行好。目前还有部分港股科技股头寸，后期仍然继续看好，但短期如果涨幅巨大（如恒指科技从现在的4500涨到5000甚至6000左右），则暂不参与，再等等看（有些大神一直拿着，也很羡慕）。不参与是因为还有其他选择，因为用盈透也能做其他市场，之前一直也在观察东南亚的几个市场（尤其越南和印尼，我们有越南同事和印尼的朋友提供市场数据，会更加关注些），以及美股中小票、杠杆高的一些公司。甚至日股也在观察中，不知道日元继续升值，是否会压低日股？不过这几个市场之前都没有港股这么低估，所以之前的很多重点都放在港股了。总的来说：有盈利，但没达到目标，有些遗憾，需要再精进。但整体逻辑没变：低买高卖。
0f813e40c293d352a546d8916c9244f6,顶楼的风,people,时局艰难，彼此共勉！,6,0,1,当你觉得要涨，要梭哈的时候，你会找到市场一切支撑你观点的消息，来强化你的信心，包括乱七八糟的风水八卦的一些东西。见好就收，别跟个赌徒一样。估计很快又重新出现16年一样的卖房炒股的，最后一地鸡毛
70cca1b544c258589325bc7db0b34829,RayL,people,,1,0,7,牛市从怀疑中成长，现在90%的老韭都不敢进，新韭借钱都在冲，好事情，牛市初期就是这样的。牛市特征：1.政府超预期放水2.跌了很久，在上次牛初的支撑阻力互换位突然V返大阳线之后周线级别碎步上涨。2.老韭永远强调基本面没改变，一有回调就异常兴奋。3.新韭不听劝，借钱都要冲，怎么操作都能赚钱，暴富故事出现。而且，很多票都在地板盘了一年了，涨起来真的非常正常，老韭害怕得毫无道理。这波90%老韭大V都拿不住，后来还是得追涨给新韭抬轿。在我看来没必要那么害怕，老韭都亏那么多了，赌输了大不了再亏10%。新韭如果是中秋前后抄到底的，建议设置个10%的止损，不到止损打死不卖，用10%搏100%-200%的收益。
9aaf10132904353e1389ada024b8bd5f,老渔投资笔记,people,,0,0,0,"A股又双叒叕打起&#34;3000点保卫战&#34;了!不过这次有点不一样,股民们惊呼:咋突然就涨上来了?原本打算国庆长假出去浪,现在只想盯盘看行情了。这两天A股市场一片欢腾,上证指数连续两天暴涨,重回3000点。不少股民都乐疯了,纷纷在朋友圈晒收益截图,炫耀自己的&#34;股市人生巅峰&#34;。有人开玩笑说:&#34;第一次不想放长假,希望A股天天开门,别停啊!&#34;别说,这波行情来得是挺突然的。前几天大家还在感叹&#34;A股真惨&#34;,转眼间就变成了&#34;A股真牛&#34;。9月26日上证指数大涨3.61%,一举突破3000点大关。紧接着27日又涨了2.89%,收盘3087点。两天时间,股指就蹿升了200多点,这速度可真够&#34;牛&#34;的。最夸张的是创业板,27日盘中一度暴涨11.87%,创下历史最大单日涨幅。不少人感慨:&#34;这是要上天啊!&#34;整个市场一片欢腾,两市5000多只个股飘红,成交额连续三天破万亿。大家都说:&#34;好久没见过这么热闹的行情了!&#34;股民们都乐坏了,纷纷晒出账户截图。有人说:&#34;两年没动的账户,一天就涨了5万!&#34;还有人感叹:&#34;套牢一年的股票终于回本了!&#34;更有不少新手投资者,赶紧买入基金想搭上这趟&#34;牛车&#34;。这波行情来得突然,但并非无缘无故。背后是一系列重磅利好政策的&#34;组合拳&#34;。先是9月24日,监管部门祭出了降准降息、降首付、降存量房贷利率等一揽子措施。紧接着26日,中央政治局会议又释放了大力支持资本市场的强烈信号。摩根士丹利的研报评价说:&#34;这些稳定市场的措施在形式上堪称中国股市史无前例。&#34;确实,以往刺激股市的手段,往往局限于资本市场内部。这次则是跳出了资本市场本身,从宏观经济层面进行全方位的刺激。可以说,这是一次&#34;史无前例&#34;的政策组合拳。不过,股市有风险,投资需谨慎。3000点虽然回来了,但能不能站稳还要打个问号。毕竟A股的3000点,算是个&#34;魔咒&#34;级别的关口了。自从2007年首次站上3000点以来,A股已经打过近50次&#34;3000点保卫战&#34;了。每次都是好不容易突破,没多久又跌回去。所以,大家也别高兴太早。短期内股市确实有望维持强势,但长期走势还要看基本面。现在经济形势依然严峻,企业盈利增长乏力,股市的基础并不牢固。再说了,国庆长假马上就到了,节前行情能持续多久还不好说。有股民调侃说:&#34;希望A股别放假,天天开门红。&#34;哈哈,这话说得。不过咱也不能太贪心,赚钱固然重要,但也别忘了放松休息。国庆长假不妨出去走走,看看祖国大好河山。等假期结束再回来看市,也许会有意外惊喜哦。牛市攻略：五阶段全解析 第一阶段：券商启动（当下阶段）- 标志：券商金融股大涨- 案例：天风、国海四连板，多元金融股五矿、中粮四连板- 策略：牛市启动的先行信号，金融权重板块启动 第二阶段：顺周期板块- 标志：经济周期相关板块上涨- 关注：石油、钢铁、煤炭、化工- 策略：短线低位试错阶段，关注首板或一进二机会第三阶段：低价股与题材股- 标志：低价股、低估值股、题材股上涨- 重点：科技兴国相关领域，如军工、华为科技、新能源汽车- 策略：增量资金挖掘，关注小票股第四阶段：成交量激增- 标志：成交量达到高峰，指数见顶信号- 现象：小市值个股增长，大股东减持，上市公司定增。全民疯狂，学生不想上课，打工族不想上班，银行保安开始分享炒股经验- 策略：新兴产业股上涨，传统板块关注度下降 第五阶段：退潮阶段- 标志：市场见顶，熊市来临- 风险：散户被套在山顶，账户资金大幅缩水- 策略：加强风险意识，避免高位被套细节提示- 关注点：本轮与2015年不同，国家提倡的是科技兴国，这次重点关注低估值、有想象空间的科技股- 影响因素：宏观经济、政策导向、市场情绪、资金流向- 板块轮动：非绝对与2015年相同，牛市周期特征可能不同，每天得重点关注资金进攻方向特别声明：内容仅代表个人观点，不构成任何投资指导，据此买卖，盈亏自负，股市有风险，投资需谨慎！"
2492dd0ceaa2732bdf2cb388a25fdb49,嗷世巅峰,people,,0,0,0,非常符合我的以前的判断，都是奢望一夜暴富的赌徒，炒股的还不如买彩票的，反正最终都是拿钱打水漂，买彩票的人，没中的时候起码不会怨天尤人成为神神。
9456b152b14a88c66a6a444a7eb6ca4c,本初,people,,0,0,0,踏空的老股民和主播还信誓旦旦等回踩呢，不把他们拉到忍不住进来，估计是不会回踩了
f7d48a309b83b747aaa42dfe99bacd6b,John,people,读书,0,0,0,这里先看结构牛，突破4000点再来说牛市吧。如果说真能变成牛市的话，那么我手里的2个票天风和阿杰很可能创造历史。目前阿杰已经创造历史。稍微推演下吧，一切基于大牛走出。现在已经明牌，大金融及消费是这波目前的主线。而后续大金融其实还有一次大分岐切核心的机会，然后等核心也量能爆炸难以为继往往也是大盘高点，还有一次高低切新题材的机会。至于说这周踏空的，现在要么空仓等主线第一次大分岐，要么就是先去别的板块的还没怎么涨的大容量票低吸，甚至打板，把仓位先推出去，类似的比如周五的宁德，药明康德，赣锋锂业等等，这类票也会随着大盘水涨船高的。当然，我对我的朋友亲戚说最好不要炒股，这是条地狱之路，哪怕现在是牛市（起点），你认知不够还是有可能亏钱的。
6d1f007271adb24171cd6f4ffed2f6bc,甄贾世清,people,婴眼观世事，童心察人情。,0,0,0,后续走势主要是看过去十年新长的韭菜成长情况。感谢计划生育和移动互联网，这波韭菜的数量比以前少太多了，智商比之前更高了，口袋也比之前更空了，估计大概率是个回光返照的早泄牛。
1837c92c99b9f109d75959f3615da758,浪里个浪,people,,0,0,0,熟悉的味道节前大热  节日话题 节后杀入庄家盆满钵满
81372c414ebec4b928edd8af55bc385d,简无缺,people,95散户厅闻烟，07跟爹当韭菜，17资管。防丢公众号：简无缺,0,0,0,完美诠释了啥叫“人菜瘾大”。绿化带不想歇，我还想出去耍呢。既然绿化带想死，那最好9月30日来个大跌，让他们犹豫犹豫，十一放假如果新加坡A50涨一波，十一开盘再爆拉一下。大跌后的大涨最容易让绿化带上头。在此期间掩护银行和公共事业股完成胜利撤退。套一段时间，之后再配合降息继续做文章。这周暴涨的缺口如果不补就涨上去了，那沪深300指数未来可就不是7000点那么简单了。万亿级的极强势底仓，那所图很可能是2万亿级的。这时候，3000点以下的A股，调整之后，永远是见不到了。
